[query] info: retrieve seed=text k=200 lexical_only=False
[lexical] trace: ranked chunk file=src/shipping/divert_244.ts ordinal=0 rrf=0.01456
[lexical] trace: ranked chunk file=docs/runbooks/rebalance-picking-02.md ordinal=0 rrf=0.01434
[lexical] trace: ranked chunk file=src/shipping/sorter_109.ts ordinal=0 rrf=0.01404
[lexical] trace: ranked chunk file=src/shipping/route_334.ts ordinal=0 rrf=0.01393
[lexical] trace: ranked chunk file=docs/adr/0002-goods-to-person-amrs.md ordinal=0 rrf=0.01378
[lexical] trace: ranked chunk file=docs/guides/replenishment.md ordinal=0 rrf=0.01349
[lexical] trace: ranked chunk file=docs/adr/0057-balance-27.md ordinal=0 rrf=0.01322
[lexical] trace: ranked chunk file=docs/adr/0037-verify-07.md ordinal=0 rrf=0.01321
[lexical] trace: ranked chunk file=docs/guides/slotting-guide-06.md ordinal=0 rrf=0.01313
[lexical] trace: ranked chunk file=src/shipping/dockout_249.py ordinal=0 rrf=0.01289
[lexical] trace: ranked chunk file=docs/adr/0001-carrier-cologne.md ordinal=0 rrf=0.01286
[lexical] trace: ranked chunk file=docs/postmortems/2025-12-manifest-mismatch.md ordinal=0 rrf=0.01204
[lexical] trace: ranked chunk file=docs/runbooks/reprint-inbound-05.md ordinal=0 rrf=0.01173
[lexical] trace: ranked chunk file=docs/guides/inbound-guide-05.md ordinal=0 rrf=0.01154
[lexical] trace: ranked chunk file=src/inbound/receipt_285.py ordinal=0 rrf=0.01147
[lexical] trace: ranked chunk file=docs/runbooks/reinduct-packing-08.md ordinal=0 rrf=0.01147
[lexical] trace: ranked chunk file=docs/runbooks/reinduct-packing-18.md ordinal=0 rrf=0.01144
[lexical] trace: ranked chunk file=src/inbound/pallet_150.py ordinal=0 rrf=0.01138
[lexical] trace: ranked chunk file=src/picking/tote_312.py ordinal=0 rrf=0.01124
[lexical] trace: ranked chunk file=config/shipping-24.yaml ordinal=0 rrf=0.01124
[lexical] trace: ranked chunk file=docs/runbooks/replay-packing-03.md ordinal=0 rrf=0.01119
[lexical] trace: ranked chunk file=docs/notes/counting-without-closing.md ordinal=0 rrf=0.01116
[lexical] trace: ranked chunk file=docs/runbooks/rebalance-picking-12.md ordinal=0 rrf=0.01097
[lexical] trace: ranked chunk file=src/slotting/home_216.py ordinal=0 rrf=0.01079
[lexical] trace: ranked chunk file=docs/runbooks/reslot-picking-17.md ordinal=0 rrf=0.01071
[lexical] trace: ranked chunk file=tests/packing/test_pack_23.py ordinal=0 rrf=0.01068
[lexical] trace: ranked chunk file=docs/runbooks/recover-inbound-00.md ordinal=0 rrf=0.01066
[lexical] trace: ranked chunk file=tests/inbound/test_pallet_80.py ordinal=0 rrf=0.01066
[lexical] trace: ranked chunk file=config/packing-08.yaml ordinal=0 rrf=0.01064
[lexical] trace: ranked chunk file=config/shipping-04.yaml ordinal=0 rrf=0.01053
[lexical] trace: ranked chunk file=tests/inbound/test_dock_35.py ordinal=0 rrf=0.01052
[lexical] trace: ranked chunk file=tests/picking/test_putwall_57.py ordinal=0 rrf=0.01035
[lexical] trace: ranked chunk file=config/shipping-14.yaml ordinal=0 rrf=0.01031
[lexical] trace: ranked chunk file=tests/shipping/test_lane_169.py ordinal=0 rrf=0.01026
[lexical] trace: ranked chunk file=docs/meetings/2025-04-26-045.md ordinal=0 rrf=0.01022
[lexical] trace: ranked chunk file=tests/shipping/test_lane_149.py ordinal=0 rrf=0.0102
[lexical] trace: ranked chunk file=tests/slotting/test_abc_141.py ordinal=0 rrf=0.0101
[lexical] trace: ranked chunk file=config/packing-28.yaml ordinal=0 rrf=0.0101
[lexical] trace: ranked chunk file=tests/slotting/test_face_146.py ordinal=0 rrf=0.01009
[lexical] trace: ranked chunk file=tests/shipping/test_trailer_154.py ordinal=0 rrf=0.01004
[lexical] trace: ranked chunk file=docs/meetings/2025-09-21-008.md ordinal=0 rrf=0.01001
[lexical] trace: ranked chunk file=tests/slotting/test_aisle_156.py ordinal=0 rrf=0.00991
[lexical] trace: ranked chunk file=docs/adr/0009-wave-cap-500-lines.md ordinal=0 rrf=0.00989
[lexical] trace: ranked chunk file=tests/shipping/test_trailer_64.py ordinal=0 rrf=0.00983
[lexical] trace: ranked chunk file=config/inbound-30.yaml ordinal=0 rrf=0.0098
[lexical] trace: ranked chunk file=tests/slotting/test_reslot_96.py ordinal=0 rrf=0.00973
[lexical] trace: ranked chunk file=docs/api/shipping-divert-14.md ordinal=0 rrf=0.00971
[lexical] trace: ranked chunk file=docs/adr/0053-rebalance-23.md ordinal=0 rrf=0.0097
[lexical] trace: ranked chunk file=docs/runbooks/onboard-a-new-sku.md ordinal=0 rrf=0.00969
[lexical] trace: ranked chunk file=tests/slotting/test_velocity_66.py ordinal=0 rrf=0.00964
[lexical] trace: ranked chunk file=src/inbound/receipt_175.ts ordinal=0 rrf=0.0096
[lexical] trace: ranked chunk file=docs/api/slotting-cube-01.md ordinal=0 rrf=0.00954
[lexical] trace: ranked chunk file=src/packing/carton_193.ts ordinal=0 rrf=0.00953
[lexical] trace: ranked chunk file=docs/adr/0049-health-gate-19.md ordinal=0 rrf=0.00952
[lexical] trace: ranked chunk file=docs/api/picking-tote-02.md ordinal=0 rrf=0.00938
[lexical] trace: ranked chunk file=src/slotting/location_271.ts ordinal=0 rrf=0.00934
[lexical] trace: ranked chunk file=src/picking/slot_67.ts ordinal=0 rrf=0.0093
[lexical] trace: ranked chunk file=docs/api/inbound-dock-15.md ordinal=0 rrf=0.00927
[lexical] trace: ranked chunk file=docs/api/inbound-crossdock-10.md ordinal=0 rrf=0.00914
[lexical] trace: ranked chunk file=config/packing-18.yaml ordinal=0 rrf=0.00909
[lexical] trace: ranked chunk file=docs/adr/0005-store-dimensions-in-millimeters.md ordinal=0 rrf=0.00903
[lexical] trace: ranked chunk file=src/picking/batch_322.ts ordinal=0 rrf=0.00902
[lexical] trace: ranked chunk file=config/inbound-10.yaml ordinal=0 rrf=0.00901
[lexical] trace: ranked chunk file=src/packing/label_13.ts ordinal=0 rrf=0.00898
[lexical] trace: ranked chunk file=docs/meetings/2025-01-05-024.md ordinal=0 rrf=0.00894
[lexical] trace: ranked chunk file=config/picking-12.yaml ordinal=0 rrf=0.00893
[lexical] trace: ranked chunk file=config/picking-02.yaml ordinal=0 rrf=0.00885
[lexical] trace: ranked chunk file=docs/meetings/2025-08-14-001.md ordinal=0 rrf=0.00876
[lexical] trace: ranked chunk file=docs/adr/0016-directed-putaway-by-velocity.md ordinal=0 rrf=0.00862
[lexical] trace: ranked chunk file=config/inbound-00.yaml ordinal=0 rrf=0.00855
[lexical] trace: ranked chunk file=src/packing/pack_348.py ordinal=0 rrf=0.00855
[lexical] trace: ranked chunk file=src/inbound/pallet_360.py ordinal=0 rrf=0.0085
[graph] debug: edges collected seeds=192 hops=1 edges=269
[graph] debug: ppr expansion candidates=14 kept=10
[query] info: retrieve complete engine=hybrid passages=200 seeds=192 nodes=255 edges=269
{"query": "What is the same-day dispatch order cutoff time?", "results": [{"path": "docs/adr/0012-same-day-cutoff-1200.md", "score": 0.04892, "matching_passages": 1, "fidelity": "inferred", "superseded": true, "superseded_by": "docs/adr/0024-same-day-cutoff-1400.md", "hybrid": {"bm25f_rank": 2, "bm25f_score": 34.997, "dense_rank": 1, "similarity": 0.7016, "rrf": 0.04892, "dense_global_rank": 1}}, {"path": "docs/adr/0024-same-day-cutoff-1400.md", "score": 0.04865, "matching_passages": 1, "fidelity": "inferred", "hybrid": {"bm25f_rank": 1, "bm25f_score": 35.647, "dense_rank": 2, "similarity": 0.6738, "rrf": 0.04865, "dense_global_rank": 2}}, {"path": "docs/adr/0040-add-10.md", "score": 0.04526, "matching_passages": 1, "fidelity": "inferred", "hybrid": {"bm25f_rank": 14, "bm25f_score": 9.969, "dense_rank": 3, "similarity": 0.5343, "rrf": 0.04526, "dense_global_rank": 3}}, {"path": "src/shipping/cutoff_174.py", "score": 0.04495, "matching_passages": 1, "fidelity": "inferred", "hybrid": {"bm25f_rank": 13, "bm25f_score": 10.056, "dense_rank": 4, "similarity": 0.5163, "rrf": 0.04495, "dense_global_rank": 4}}, {"path": "docs/guides/slotting-guide-01.md", "score": 0.04478, "matching_passages": 1, "fidelity": "inferred", "hybrid": {"bm25f_rank": 7, "bm25f_score": 12.956, "dense_rank": 7, "similarity": 0.4832, "rrf": 0.04478, "dense_global_rank": 7}}], "corpus": {"docs": 892, "chunks": 900}, "engine": "hybrid"}
