rung,path,arm,rerank_weight,question_id,repeat,warmup,ok,ms
rung-00100,ask,on,1.0,g011,7,0,1,89.241
rung-00100,ask,off,0.0,g011,8,0,1,65.294
rung-00100,ask,on,1.0,g011,8,0,1,87.697
rung-00100,ask,off,0.0,g011,9,0,1,65.443
rung-00100,ask,on,1.0,g011,9,0,1,88.809
rung-00100,ask,off,0.0,g012,0,1,1,65.561
rung-00100,ask,on,1.0,g012,0,1,1,83.897
rung-00100,ask,off,0.0,g012,1,1,1,66.422
rung-00100,ask,on,1.0,g012,1,1,1,84.335
rung-00100,ask,off,0.0,g012,2,1,1,67.305
rung-00100,ask,on,1.0,g012,2,1,1,83.992
rung-00100,ask,off,0.0,g012,3,0,1,65.396
rung-00100,ask,on,1.0,g012,3,0,1,85.195
rung-00100,ask,off,0.0,g012,4,0,1,66.943
rung-00100,ask,on,1.0,g012,4,0,1,83.588
rung-00100,ask,off,0.0,g012,5,0,1,65.648
rung-00100,ask,on,1.0,g012,5,0,1,83.340
rung-00100,ask,off,0.0,g012,6,0,1,66.226
rung-00100,ask,on,1.0,g012,6,0,1,84.938
rung-00100,ask,off,0.0,g012,7,0,1,66.056
rung-00100,ask,on,1.0,g012,7,0,1,86.850
rung-00100,ask,off,0.0,g012,8,0,1,66.621
rung-00100,ask,on,1.0,g012,8,0,1,85.252
rung-00100,ask,off,0.0,g012,9,0,1,66.185
rung-00100,ask,on,1.0,g012,9,0,1,82.740
rung-00100,ask,off,0.0,g013,0,1,1,69.887
rung-00100,ask,on,1.0,g013,0,1,1,83.056
rung-00100,ask,off,0.0,g013,1,1,1,66.645
rung-00100,ask,on,1.0,g013,1,1,1,82.785
rung-00100,ask,off,0.0,g013,2,1,1,65.441
rung-00100,ask,on,1.0,g013,2,1,1,84.331
rung-00100,ask,off,0.0,g013,3,0,1,65.651
rung-00100,ask,on,1.0,g013,3,0,1,82.555
rung-00100,ask,off,0.0,g013,4,0,1,66.908
rung-00100,ask,on,1.0,g013,4,0,1,82.250
rung-00100,ask,off,0.0,g013,5,0,1,67.412
rung-00100,ask,on,1.0,g013,5,0,1,86.249
rung-00100,ask,off,0.0,g013,6,0,1,66.791
rung-00100,ask,on,1.0,g013,6,0,1,82.000
rung-00100,ask,off,0.0,g013,7,0,1,66.131
rung-00100,ask,on,1.0,g013,7,0,1,82.550
rung-00100,ask,off,0.0,g013,8,0,1,65.845
rung-00100,ask,on,1.0,g013,8,0,1,82.152
rung-00100,ask,off,0.0,g013,9,0,1,64.709
rung-00100,ask,on,1.0,g013,9,0,1,82.781
rung-00100,ask,off,0.0,g014,0,1,1,65.837
rung-00100,ask,on,1.0,g014,0,1,1,81.743
rung-00100,ask,off,0.0,g014,1,1,1,66.125
rung-00100,ask,on,1.0,g014,1,1,1,80.818
rung-00100,ask,off,0.0,g014,2,1,1,68.943
rung-00100,ask,on,1.0,g014,2,1,1,80.070
rung-00100,ask,off,0.0,g014,3,0,1,65.915
rung-00100,ask,on,1.0,g014,3,0,1,81.513
rung-00100,ask,off,0.0,g014,4,0,1,65.659
rung-00100,ask,on,1.0,g014,4,0,1,81.777
rung-00100,ask,off,0.0,g014,5,0,1,66.271
rung-00100,ask,on,1.0,g014,5,0,1,81.550
rung-00100,ask,off,0.0,g014,6,0,1,66.297
rung-00100,ask,on,1.0,g014,6,0,1,81.570
rung-00100,ask,off,0.0,g014,7,0,1,65.142
rung-00100,ask,on,1.0,g014,7,0,1,80.824
rung-00100,ask,off,0.0,g014,8,0,1,65.725
rung-00100,ask,on,1.0,g014,8,0,1,81.648
rung-00100,ask,off,0.0,g014,9,0,1,68.848
rung-00100,ask,on,1.0,g014,9,0,1,80.782
rung-00100,ask,off,0.0,g015,0,1,1,65.096
rung-00100,ask,on,1.0,g015,0,1,1,80.993
rung-00100,ask,off,0.0,g015,1,1,1,63.944
rung-00100,ask,on,1.0,g015,1,1,1,79.945
rung-00100,ask,off,0.0,g015,2,1,1,64.460
rung-00100,ask,on,1.0,g015,2,1,1,78.552
rung-00100,ask,off,0.0,g015,3,0,1,63.344
rung-00100,ask,on,1.0,g015,3,0,1,79.784
rung-00100,ask,off,0.0,g015,4,0,1,65.320
rung-00100,ask,on,1.0,g015,4,0,1,80.124
rung-00100,ask,off,0.0,g015,5,0,1,64.264
rung-00100,ask,on,1.0,g015,5,0,1,83.658
rung-00100,ask,off,0.0,g015,6,0,1,64.534
rung-00100,ask,on,1.0,g015,6,0,1,78.562
rung-00100,ask,off,0.0,g015,7,0,1,65.756
rung-00100,ask,on,1.0,g015,7,0,1,81.334
rung-00100,ask,off,0.0,g015,8,0,1,64.043
rung-00100,ask,on,1.0,g015,8,0,1,79.282
rung-00100,ask,off,0.0,g015,9,0,1,64.785
rung-00100,ask,on,1.0,g015,9,0,1,80.705
rung-00100,ask,off,0.0,g016,0,1,1,65.399
rung-00100,ask,on,1.0,g016,0,1,1,84.077
rung-00100,ask,off,0.0,g016,1,1,1,66.129
rung-00100,ask,on,1.0,g016,1,1,1,84.399
rung-00100,ask,off,0.0,g016,2,1,1,65.653
rung-00100,ask,on,1.0,g016,2,1,1,87.668
rung-00100,ask,off,0.0,g016,3,0,1,89.650
rung-00100,ask,on,1.0,g016,3,0,1,84.569
rung-00100,ask,off,0.0,g016,4,0,1,65.019
rung-00100,ask,on,1.0,g016,4,0,1,85.023
rung-00100,ask,off,0.0,g016,5,0,1,65.948
rung-00100,ask,on,1.0,g016,5,0,1,85.108
rung-00100,ask,off,0.0,g016,6,0,1,66.304
rung-00100,ask,on,1.0,g016,6,0,1,83.502
rung-00100,ask,off,0.0,g016,7,0,1,66.446
rung-00100,ask,on,1.0,g016,7,0,1,84.793
rung-00100,ask,off,0.0,g016,8,0,1,66.778
rung-00100,ask,on,1.0,g016,8,0,1,84.173
rung-00100,ask,off,0.0,g016,9,0,1,78.366
rung-00100,ask,on,1.0,g016,9,0,1,84.944
rung-00100,ask,off,0.0,g017,0,1,1,67.382
rung-00100,ask,on,1.0,g017,0,1,1,81.425
rung-00100,ask,off,0.0,g017,1,1,1,64.915
rung-00100,ask,on,1.0,g017,1,1,1,79.801
rung-00100,ask,off,0.0,g017,2,1,1,64.624
rung-00100,ask,on,1.0,g017,2,1,1,79.874
rung-00100,ask,off,0.0,g017,3,0,1,64.576
rung-00100,ask,on,1.0,g017,3,0,1,79.619
rung-00100,ask,off,0.0,g017,4,0,1,65.292
rung-00100,ask,on,1.0,g017,4,0,1,80.454
rung-00100,ask,off,0.0,g017,5,0,1,64.866
rung-00100,ask,on,1.0,g017,5,0,1,82.866
rung-00100,ask,off,0.0,g017,6,0,1,67.934
rung-00100,ask,on,1.0,g017,6,0,1,79.369
rung-00100,ask,off,0.0,g017,7,0,1,65.370
rung-00100,ask,on,1.0,g017,7,0,1,80.917
rung-00100,ask,off,0.0,g017,8,0,1,66.548
rung-00100,ask,on,1.0,g017,8,0,1,86.234
rung-00100,ask,off,0.0,g017,9,0,1,66.035
rung-00100,ask,on,1.0,g017,9,0,1,79.508
rung-00100,ask,off,0.0,g018,0,1,1,67.230
rung-00100,ask,on,1.0,g018,0,1,1,85.408
rung-00100,ask,off,0.0,g018,1,1,1,68.522
rung-00100,ask,on,1.0,g018,1,1,1,87.458
rung-00100,ask,off,0.0,g018,2,1,1,66.446
rung-00100,ask,on,1.0,g018,2,1,1,86.898
rung-00100,ask,off,0.0,g018,3,0,1,66.116
rung-00100,ask,on,1.0,g018,3,0,1,85.489
rung-00100,ask,off,0.0,g018,4,0,1,65.480
rung-00100,ask,on,1.0,g018,4,0,1,84.076
rung-00100,ask,off,0.0,g018,5,0,1,67.575
rung-00100,ask,on,1.0,g018,5,0,1,86.072
rung-00100,ask,off,0.0,g018,6,0,1,65.444
rung-00100,ask,on,1.0,g018,6,0,1,85.066
rung-00100,ask,off,0.0,g018,7,0,1,65.870
rung-00100,ask,on,1.0,g018,7,0,1,85.007
rung-00100,ask,off,0.0,g018,8,0,1,69.331
rung-00100,ask,on,1.0,g018,8,0,1,85.529
rung-00100,ask,off,0.0,g018,9,0,1,67.327
rung-00100,ask,on,1.0,g018,9,0,1,85.867
rung-00100,ask,off,0.0,g019,0,1,1,66.083
rung-00100,ask,on,1.0,g019,0,1,1,86.956
rung-00100,ask,off,0.0,g019,1,1,1,66.511
rung-00100,ask,on,1.0,g019,1,1,1,86.588
rung-00100,ask,off,0.0,g019,2,1,1,66.609
rung-00100,ask,on,1.0,g019,2,1,1,87.264
rung-00100,ask,off,0.0,g019,3,0,1,66.216
rung-00100,ask,on,1.0,g019,3,0,1,87.136
rung-00100,ask,off,0.0,g019,4,0,1,65.896
rung-00100,ask,on,1.0,g019,4,0,1,89.979
rung-00100,ask,off,0.0,g019,5,0,1,65.318
rung-00100,ask,on,1.0,g019,5,0,1,89.362
rung-00100,ask,off,0.0,g019,6,0,1,66.602
rung-00100,ask,on,1.0,g019,6,0,1,87.530
rung-00100,ask,off,0.0,g019,7,0,1,65.666
rung-00100,ask,on,1.0,g019,7,0,1,86.684
rung-00100,ask,off,0.0,g019,8,0,1,66.650
rung-00100,ask,on,1.0,g019,8,0,1,85.566
rung-00100,ask,off,0.0,g019,9,0,1,68.316
rung-00100,ask,on,1.0,g019,9,0,1,88.254
rung-00100,ask,off,0.0,g020,0,1,1,66.558
rung-00100,ask,on,1.0,g020,0,1,1,87.284
rung-00100,ask,off,0.0,g020,1,1,1,68.368
rung-00100,ask,on,1.0,g020,1,1,1,85.697
rung-00100,ask,off,0.0,g020,2,1,1,65.313
rung-00100,ask,on,1.0,g020,2,1,1,88.664
rung-00100,ask,off,0.0,g020,3,0,1,66.398
rung-00100,ask,on,1.0,g020,3,0,1,87.966
rung-00100,ask,off,0.0,g020,4,0,1,66.085
rung-00100,ask,on,1.0,g020,4,0,1,86.302
rung-00100,ask,off,0.0,g020,5,0,1,67.262
rung-00100,ask,on,1.0,g020,5,0,1,87.615
rung-00100,ask,off,0.0,g020,6,0,1,91.933
rung-00100,ask,on,1.0,g020,6,0,1,88.106
rung-00100,ask,off,0.0,g020,7,0,1,65.987
rung-00100,ask,on,1.0,g020,7,0,1,86.486
rung-00100,ask,off,0.0,g020,8,0,1,67.367
rung-00100,ask,on,1.0,g020,8,0,1,87.032
rung-00100,ask,off,0.0,g020,9,0,1,65.924
rung-00100,ask,on,1.0,g020,9,0,1,88.065
rung-00100,ask,off,0.0,g021,0,1,1,67.301
rung-00100,ask,on,1.0,g021,0,1,1,87.315
rung-00100,ask,off,0.0,g021,1,1,1,67.344
rung-00100,ask,on,1.0,g021,1,1,1,87.493
rung-00100,ask,off,0.0,g021,2,1,1,67.221
rung-00100,ask,on,1.0,g021,2,1,1,89.581
rung-00100,ask,off,0.0,g021,3,0,1,66.513
rung-00100,ask,on,1.0,g021,3,0,1,86.700
rung-00100,ask,off,0.0,g021,4,0,1,66.206
rung-00100,ask,on,1.0,g021,4,0,1,87.064
rung-00100,ask,off,0.0,g021,5,0,1,67.735
rung-00100,ask,on,1.0,g021,5,0,1,86.501
rung-00100,ask,off,0.0,g021,6,0,1,68.108
rung-00100,ask,on,1.0,g021,6,0,1,85.963
rung-00100,ask,off,0.0,g021,7,0,1,65.938
rung-00100,ask,on,1.0,g021,7,0,1,85.090
rung-00100,ask,off,0.0,g021,8,0,1,66.660
rung-00100,ask,on,1.0,g021,8,0,1,86.832
rung-00100,ask,off,0.0,g021,9,0,1,70.476
rung-00100,ask,on,1.0,g021,9,0,1,84.963
rung-00100,ask,off,0.0,g022,0,1,1,65.382
rung-00100,ask,on,1.0,g022,0,1,1,87.147
rung-00100,ask,off,0.0,g022,1,1,1,66.319
rung-00100,ask,on,1.0,g022,1,1,1,83.014
rung-00100,ask,off,0.0,g022,2,1,1,66.146
rung-00100,ask,on,1.0,g022,2,1,1,84.057
rung-00100,ask,off,0.0,g022,3,0,1,103.377
rung-00100,ask,on,1.0,g022,3,0,1,84.600
rung-00100,ask,off,0.0,g022,4,0,1,63.808
rung-00100,ask,on,1.0,g022,4,0,1,83.171
rung-00100,ask,off,0.0,g022,5,0,1,65.100
rung-00100,ask,on,1.0,g022,5,0,1,83.461
rung-00100,ask,off,0.0,g022,6,0,1,63.770
rung-00100,ask,on,1.0,g022,6,0,1,83.493
rung-00100,ask,off,0.0,g022,7,0,1,63.865
rung-00100,ask,on,1.0,g022,7,0,1,84.672
rung-00100,ask,off,0.0,g022,8,0,1,63.860
rung-00100,ask,on,1.0,g022,8,0,1,81.932
rung-00100,ask,off,0.0,g022,9,0,1,69.482
rung-00100,ask,on,1.0,g022,9,0,1,89.530
rung-00100,ask,off,0.0,g023,0,1,1,68.569
rung-00100,ask,on,1.0,g023,0,1,1,81.533
rung-00100,ask,off,0.0,g023,1,1,1,64.395
rung-00100,ask,on,1.0,g023,1,1,1,79.271
rung-00100,ask,off,0.0,g023,2,1,1,65.915
rung-00100,ask,on,1.0,g023,2,1,1,79.675
rung-00100,ask,off,0.0,g023,3,0,1,65.633
rung-00100,ask,on,1.0,g023,3,0,1,79.991
rung-00100,ask,off,0.0,g023,4,0,1,65.816
rung-00100,ask,on,1.0,g023,4,0,1,81.754
rung-00100,ask,off,0.0,g023,5,0,1,65.220
rung-00100,ask,on,1.0,g023,5,0,1,80.711
rung-00100,ask,off,0.0,g023,6,0,1,64.867
rung-00100,ask,on,1.0,g023,6,0,1,79.901
rung-00100,ask,off,0.0,g023,7,0,1,66.111
rung-00100,ask,on,1.0,g023,7,0,1,80.522
rung-00100,ask,off,0.0,g023,8,0,1,63.863
rung-00100,ask,on,1.0,g023,8,0,1,80.840
rung-00100,ask,off,0.0,g023,9,0,1,65.695
rung-00100,ask,on,1.0,g023,9,0,1,80.676
rung-00100,ask,off,0.0,g024,0,1,1,63.542
rung-00100,ask,on,1.0,g024,0,1,1,85.292
rung-00100,ask,off,0.0,g024,1,1,1,63.588
rung-00100,ask,on,1.0,g024,1,1,1,84.251
rung-00100,ask,off,0.0,g024,2,1,1,65.440
rung-00100,ask,on,1.0,g024,2,1,1,86.344
rung-00100,ask,off,0.0,g024,3,0,1,65.427
rung-00100,ask,on,1.0,g024,3,0,1,85.280
rung-00100,ask,off,0.0,g024,4,0,1,65.032
rung-00100,ask,on,1.0,g024,4,0,1,87.621
rung-00100,ask,off,0.0,g024,5,0,1,67.070
rung-00100,ask,on,1.0,g024,5,0,1,85.202
rung-00100,ask,off,0.0,g024,6,0,1,64.816
