query,n_docs,n_scores_differing,top5_same_exact,top5_same_round9
"utf8",9,0,1,1
"v0",363,0,1,1
"v3",22,0,1,1
"validated_at",197,0,1,1
"variat",1,0,1,1
"ve",8,0,1,1
"version_info",253,0,1,1
"victim",3,0,1,1
"view",58,0,1,1
"viewer",29,0,1,1
"visit",6,0,1,1
"vocab",12,0,1,1
"w8",1,0,1,1
"waiv",6,0,1,1
"walker",22,0,1,1
"wasm",0,0,1,1
"wave",17,0,1,1
"went",58,0,1,1
"wider",21,0,1,1
"wit",2,0,1,1
"wl",3,0,1,1
"worker",14,0,1,1
"would_index",507,0,1,1
"write_corpus",556,0,1,1
"writeup",1,0,1,1
"wrong",255,0,1,1
"ww",2,0,1,1
"x8",6,0,1,1
"x86",19,0,1,1
"xx",8,0,1,1
"y",34,0,1,1
"your",0,0,1,1
"yyyi",8,0,1,1
"zhuang",0,0,1,1
