run,arm,version,corpus,path,query_id,class,repeat,warmup,ms
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q009,rare,2,0,26.391
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q009,rare,3,0,1962.704
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q009,rare,3,0,1921.860
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q009,rare,3,0,2231.602
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q009,rare,3,0,26.487
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q010,rare,0,1,1958.820
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q010,rare,0,1,1934.843
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q010,rare,0,1,2201.719
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q010,rare,0,1,26.045
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q010,rare,1,0,1960.873
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q010,rare,1,0,1926.831
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q010,rare,1,0,2212.502
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q010,rare,1,0,26.178
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q010,rare,2,0,1962.127
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q010,rare,2,0,1919.163
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q010,rare,2,0,2192.198
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q010,rare,2,0,26.171
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q010,rare,3,0,1953.446
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q010,rare,3,0,1935.539
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q010,rare,3,0,2232.962
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q010,rare,3,0,26.555
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q011,common,0,1,1909.593
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q011,common,0,1,1870.819
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q011,common,0,1,2165.900
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q011,common,0,1,26.297
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q011,common,1,0,1919.723
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q011,common,1,0,1863.106
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q011,common,1,0,2167.613
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q011,common,1,0,26.771
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q011,common,2,0,1922.051
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q011,common,2,0,1873.392
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q011,common,2,0,2169.002
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q011,common,2,0,26.281
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q011,common,3,0,1918.395
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q011,common,3,0,1881.386
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q011,common,3,0,2201.597
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q011,common,3,0,26.306
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q012,common,0,1,1915.283
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q012,common,0,1,1873.260
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q012,common,0,1,2214.883
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q012,common,0,1,26.663
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q012,common,1,0,1904.778
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q012,common,1,0,1875.338
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q012,common,1,0,2177.185
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q012,common,1,0,26.369
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q012,common,2,0,1914.571
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q012,common,2,0,1876.863
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q012,common,2,0,2166.546
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q012,common,2,0,26.308
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q012,common,3,0,1929.655
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q012,common,3,0,1878.674
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q012,common,3,0,2170.253
